feature,rho_ARAT,p_ARAT,rho_FMA,p_FMA,sig_ARAT,sig_FMA
Z_acc_std_std,0.5168553056445502,6.42923588614909e-15,0.49530968437545597,1.1857003056258677e-13,True,True
Y_acc_std_std,0.5123597199337517,1.2013832607655386e-14,0.4964480570996354,1.0216379071528321e-13,True,True
acc_mag_max_std,0.5120871663391597,1.24742674735536e-14,0.49132847324496964,1.987455178923595e-13,True,True
acc_mag_std_std,0.5113291266542007,1.3847330250294696e-14,0.48891716471644275,2.7086801681692627e-13,True,True
jerk_mag_std_p90,0.499914396280692,6.46949357697343e-14,0.48063302842472366,7.704715545641399e-13,True,True
Y_vel_std_std,0.49822797091415405,8.085141268131298e-14,0.4735158788454957,1.8499792006487028e-12,True,True
Z_jerk_std_p90,0.49483266548152377,1.261845375046476e-13,0.4744052325362609,1.6600074842004481e-12,True,True
jerk_mag_mean_p90,0.48900915529707395,2.676994162241017e-13,0.48203279379888464,6.469931933207975e-13,True,True
Z_jerk_max_iqr,0.47927233299027205,9.123606156345992e-13,0.45631268506195477,1.416425409393179e-11,True,True
X_acc_max_p10,0.4787148370013339,9.775750062832366e-13,0.4686414472690669,3.331817220103282e-12,True,True
Z_jerk_max_std,0.4744825132853117,1.6444270420509062e-12,0.45616729506729053,1.4403120157210186e-11,True,True
jerk_mag_max_iqr,0.47313445701205986,1.9377902820408896e-12,0.4586636722097167,1.0796284793991833e-11,True,True
jerk_mag_std_iqr,0.47279918511871233,2.0183166775005193e-12,0.4546260064536427,1.7188592739819376e-11,True,True
jerk_mag_max_std,0.46780107871788484,3.684052019948431e-12,0.45414730216270033,1.8155585096453265e-11,True,True
Y_jerk_max_p90,0.46658775064195973,4.257262638810063e-12,0.45854844290543495,1.0941451272956146e-11,True,True
