dim,icc,stream,category
887,0.6014346,gravity,moderate
888,0.60073143,gravity,moderate
889,0.59975994,gravity,moderate
890,0.5988489,gravity,moderate
891,0.59773904,gravity,moderate
892,0.5963641,gravity,moderate
893,0.5949229,gravity,moderate
894,0.59341806,gravity,moderate
895,0.59165245,gravity,moderate
896,0.5896938,gravity,moderate
897,0.58780754,gravity,moderate
898,0.5856664,gravity,moderate
899,0.5832725,gravity,moderate
900,0.58095556,gravity,moderate
901,0.5784562,gravity,moderate
902,0.57571256,gravity,moderate
903,0.57292175,gravity,moderate
904,0.57008564,gravity,moderate
905,0.56701535,gravity,moderate
906,0.5637794,gravity,moderate
907,0.5606332,gravity,moderate
908,0.5572648,gravity,moderate
909,0.5536807,gravity,moderate
910,0.55019426,gravity,moderate
911,0.546562,gravity,moderate
912,0.5427292,gravity,moderate
913,0.53888375,gravity,moderate
914,0.535028,gravity,moderate
915,0.5309893,gravity,moderate
916,0.52683455,gravity,moderate
917,0.52280205,gravity,moderate
